"Ano","Data","Autor","Título","Instituição","Ano Corrigido","Data Corrigida","Nome Corrigido","Título Corrigido","Instituição Corrigida","URL","Status","Note"
2013,07/03/13,"Julio Cezar Marinho Da Fonseca","Números perplexos: uma abordagem para o ensino médio","UFAM",2013,07/03/13,"Júlio Cezar Marinho da Fonseca","Números perplexos: uma abordagem para o Ensino Médio","UFAM","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=100&id2=34265",,
2014,23/04/14,"Efraim De Alcântara Matos","Proposta de material didático sobre função afim específico para o curso de agroecologia","UFERSA",2014,23/04/14,"Efraim de Alcântara Matos","Proposta de material didático sobre função afim específico para o curso de agroecologia","UFERSA","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1000&id2=434",,
2014,17/03/14,"Aline Pires Carneiro Santos","O triângulo pedal","UFMT",2014,17/03/14,"Aline Pires Carneiro Santos","O triângulo pedal","UFMT","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1001&id2=32428",,
2014,17/03/14,"Gláucio Antonio Munhos Sanches","O ensino da matemática financeira: entre a teoria e a necessidade prática do cotidiano","UFMT",2014,17/03/14,"Gláucio Antônio Munhos Sanches","O ensino da Matemática financeira: entre a teoria e a necessidade prática do cotidiano","UFMT","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1002&id2=44092",,
2014,11/04/14,"Anderson Marcos Piffer","Aplicações da função de euler","UFMT",2014,11/04/14,"Anderson Marcos Piffer","Aplicações da função de Euler","UFMT","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1003&id2=40694",,
2014,11/04/14,"Jessé Garcia De Faria","Algumas propriedades dos ternos quase pitagóricos","UFMT",2014,11/04/14,"Jessé Garcia de Faria","Algumas propriedades dos ternos quase pitagóricos","UFMT","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1004&id2=759",,
2014,11/04/14,"Marco Antonio De Oliveira Barros","Aritmética modular: aplicações no ensino médio","UFMT",2014,11/04/14,"Marco Antônio de Oliveira Barros","Aritmética modular: aplicações no Ensino Médio","UFMT","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1005&id2=1087",,
2014,26/04/14,"José Ueslei Marques Pascoal","Um breve estudo sobre a utilização do cálculo diferencial e integral na educação básica de jaguaruana-ce","UFERSA",2014,26/04/14,"José Ueslei Marques Pascoal","Um breve estudo sobre a utilização do Cálculo Diferencial e Integral na Educação Básica de Jaguaruana – CE","UFERSA","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1006&id2=866",,
2014,25/04/14,"Jakson Ney Da Costa Reis","Fractais no ensino médio: da observação de padrões da natureza ao uso do geogebra","UFERSA",2014,25/04/14,"Jakson Ney da Costa Reis","Fractais no Ensino Médio: da observação de padrões da natureza ao uso do GeoGebra","UFERSA","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1007&id2=735",,
2014,15/04/14,"Francenildo Cardoso De Oliveira","Lógica fuzzy: uma ferramenta para auxílio à tomada de decisão com relação a fatores que interferem no rendimento escolar","UNIR",2014,15/04/14,"Francenildo Cardoso de Oliveira","Lógica fuzzy: uma ferramenta para auxílio à tomada de decisão com relação a fatores que interferem no rendimento escolar","UNIR","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1008&id2=583",,
2014,17/03/14,"Marcos Borges De Oliveira","Abordagens históricas sobre logaritmos","UFMT",2014,17/03/14,"Marcos Borges de Oliveira","Abordagens históricas sobre logaritmos","UFMT","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1009&id2=38270",,
2013,09/03/13,"Mauricio Osmall Jung","Questionário virtual para o ensino de probabilidade","FURG",2013,09/03/13,"Maurício Osmall Jung","Questionário virtual para o ensino de probabilidade","FURG","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=101&id2=45033",,
2014,04/04/14,"Otávio José Corrêa Júnior","Construções geométricas com foco no método dos lugares geométricos: aspectos teóricos e computacionais","UFTM",2014,04/04/14,"Otávio José Corrêa Jr","Construções geométricas com foco no método dos lugares geométricos: aspectos teóricos e computacionais","UFTM","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1010&id2=1212",,
2014,29/04/14,"Michel Guerra De Souza","Possibilidades em grafos hamiltonianos","UFRJ",2014,29/04/14,"Michel Guerra de Souza","Possibilidades em grafos hamiltonianos","UFRJ","https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1011&id2=1153",,
